Time Stamp,Data Point 1,Data Point 2,Data Point 3,Data Point 4,Data Point 5
06-Feb-20 9:30:00,Off,No Data,150.2924805,150.1744843,Off
06-Feb-20 9:31:00,Off,No Data,150.293335,150.1760864,Off
06-Feb-20 9:32:00,Off,No Data,150.2941895,150.1776886,Off
06-Feb-20 9:33:00,Off,No Data,150.2950592,150.1792908,Off
06-Feb-20 9:34:00,Off,No Data,150.2959137,150.1808929,Off
06-Feb-20 9:35:00,Off,No Data,150.2967834,150.1824951,Off
06-Feb-20 9:36:00,Off,No Data,150.2976379,150.1840973,Off
06-Feb-20 9:37:00,Off,No Data,150.2985077,150.1856995,Off
06-Feb-20 9:38:00,Off,No Data,150.2993622,150.1873169,Off
06-Feb-20 9:39:00,Off,No Data,153.9002167,150.1889191,Off
06-Feb-20 9:40:00,Off,No Data,153.9010864,150.1905212,Off
06-Feb-20 9:41:00,Off,No Data,153.9019409,150.1921234,Off
06-Feb-20 9:42:00,Off,No Data,153.9028107,150.1937256,Off
06-Feb-20 9:43:00,Off,No Data,153.9036652,150.1953278,Off
06-Feb-20 9:44:00,Off,No Data,153.9045197,150.1969299,Off
06-Feb-20 9:45:00,Off,No Data,153.9053894,150.1985321,Off
06-Feb-20 9:46:00,Off,No Data,153.9062439,150.1501343,Off
06-Feb-20 9:47:00,Off,No Data,153.9071136,150.2017517,Off
06-Feb-20 9:48:00,Off,No Data,153.9079681,150.2033539,Off
06-Feb-20 9:49:00,Off,No Data,153.9088379,150.2049561,Off
06-Feb-20 9:50:00,Off,No Data,153.9096924,150.2065582,Off
06-Feb-20 9:51:00,Off,No Data,153.9105469,150.2081604,Off
06-Feb-20 9:52:00,Off,No Data,153.9114166,150.2097626,Off
06-Feb-20 9:53:00,Off,No Data,153.9122711,150.2113647,Off
06-Feb-20 9:54:00,Off,No Data,153.9131409,150.2129669,Off
06-Feb-20 9:55:00,Off,No Data,153.9139954,150.2145691,Off
06-Feb-20 9:56:00,Off,No Data,153.9148651,150.2161865,Off
06-Feb-20 9:57:00,Off,No Data,153.9157196,150.2177887,Off
06-Feb-20 9:58:00,Off,No Data,153.9165741,150.2193909,Off
06-Feb-20 9:59:00,Off,No Data,153.9174438,150.220993,Off
06-Feb-20 10:00:00,Off,No Data,153.9182983,150.2225952,Off
06-Feb-20 10:01:00,Off,No Data,153.9191681,150.2241974,Off
06-Feb-20 10:02:00,Off,No Data,153.9150226,150.2257996,Off
06-Feb-20 10:03:00,Off,No Data,153.9208923,150.2274017,Off
06-Feb-20 10:04:00,Off,No Data,153.9217468,150.2290039,Off
06-Feb-20 10:05:00,Off,No Data,153.9226013,150.2306213,Off
06-Feb-20 10:06:00,Off,No Data,153.9234711,150.2322235,Off
06-Feb-20 10:07:00,Off,No Data,153.9243256,150.2338257,Off
06-Feb-20 10:08:00,Off,No Data,153.9251953,150.2354279,Off
06-Feb-20 10:09:00,Off,No Data,153.9260498,150.23703,Off
06-Feb-20 10:10:00,Off,No Data,153.9269043,150.2386322,Off
06-Feb-20 10:11:00,Off,No Data,153.927774,150.2402344,Off
06-Feb-20 10:12:00,Off,No Data,153.9286285,150.2418365,Off
06-Feb-20 10:13:00,Off,No Data,153.9294983,150.2434387,Off
06-Feb-20 10:14:00,Off,No Data,153.9303528,150.2450562,Off
06-Feb-20 10:15:00,Off,No Data,153.9312225,150.2466583,Off
06-Feb-20 10:16:00,Off,No Data,153.932077,150.2482605,Off
06-Feb-20 10:17:00,Off,No Data,153.9329315,150.2498627,Off
06-Feb-20 10:18:00,Off,No Data,153.9338013,150.2514648,Off
06-Feb-20 10:19:00,Off,No Data,153.9346558,150.253067,Off
06-Feb-20 10:20:00,Off,No Data,153.9355255,150.2546692,Off
06-Feb-20 10:21:00,Off,No Data,153.93638,150.2562714,Off
